ID,Patch,Year,Month,Team,Side,Result,Time,Kills,Deaths,Assists,Pick 1,Role,Pick 2,Role,Pick 3,Role,Pick 4,Role,Pick 5,Role,E-Pick 1,Role,E-Pick 2,Role,E-Pick 3,Role,E-Pick 4,Role,E-Pick 5,Role,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,E-Ban 1,E-Ban 2,E-Ban 3,E-Ban 4,E-Ban 5
1,13.11,2023,June,ANKORA(EBL),Red,Win,:38:39,24,26,54,Azir,Mid,Aphelios,Adc,Milio,Sup,Maokai,Jun,K'Sante,Top,LeBlanc,Mid,Xayah,Adc,Rakan,Sup,Ornn,Top,Kha'Zix,Jun,Galio,Karthus,Yuumi,Wukong,,Vi,Poppy,Neeko,Rek'Sai,Sion
2,13.11,2023,June,ANKORA(EBL),Blue,Win,:26:16,22,17,47,Maokai,Jun,Aphelios,Adc,Lulu,Sup,Renekton,Top,Azir,Mid,Milio,Sup,Lucian,Adc,K'Sante,Top,Jarvan IV,Jun,Kai'Sa,Mid,Karthus,Yuumi,Xayah,Gragas,Wukong,LeBlanc,Neeko,Vi,Gwen,
3,13.11,2023,June,ANKORA(EBL),Red,Win,:23:12,18,13,33,Zeri,Adc,Yuumi,Sup,K'Sante,Top,Viego,Jun,Ahri,Mid,Gragas,Jun,Kai'Sa,Adc,Nautilus,Sup,Pantheon,Top,Aphelios,Adc,LeBlanc,Lucian,Neeko,Poppy,Gwen,Vi,Azir,Milio,Maokai,Sejuani
4,13.11,2023,June,ANKORA(EBL),Blue,Lose,00:27:15,16,22,33,Varus,Adc,Sejuani,Jun,Azir,Mid,Nautilus,Sup,Renekton,Top,Aphelios,Adc,Gragas,Jun,Rakan,Sup,Twisted Fate,Mid,Jax,Top,Karthus,Lucian,Yuumi,Wukong,Olaf,Vi,Neeko,LeBlanc,K'Sante,Milio
5,13.11,2023,June,ANKORA(EBL),Blue,Win,:14:56,13,13,11,Vi,Jun,Ahri,Mid,Ezreal,Adc,Soraka,Sup,K'Sante,Jun,Xayah,Adc,Maokai,Jun,Milio,Sup,Galio,Mid,Pantheon,Top,Karthus,Yuumi,Lucian,Lissandra,Tristana,Neeko,LeBlanc,Azir,Rakan,Karma
6,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:21:41,37,18,54,Neeko,Mid,Aphelios,Adc,Vi,Jun,Rakan,Sup,K'Sante,Top,Milio,Sup,Xayah,Adc,Nocturne,Jun,Akali,Mid,Mordekaiser,Top,Lucian,Maokai,Sejuani,Darius,Lissandra,LeBlanc,Zeri,Yuumi,Lulu,Blitzcrank
7,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:30:16,35,21,89,Yuumi,Sup,Aphelios,Adc,Ahri,Mid,Poppy,Jun,Renekton,Top,Zeri,Adc,Sejuani,Jun,Rakan,Sup,Yasuo,Mid,Mordekaiser,Top,Lucian,Maokai,Annie,Sylas,Darius,Neeko,Vi,LeBlanc,K'Sante,Ornn
8,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:20:48,27,15,27,Vi,Jun,Ahri,Mid,Aphelios,Adc,Varus,Top,Blitzcrank,Sup,Xayah,Adc,Wukong,Jun,Rakan,Sup,K'Sante,Top,Ekko,Mid,Lucian,Annie,Maokai,Lissandra,Darius,Neeko,LeBlanc,Yuumi,Nautilus,Milio
9,13.11,2023,June,Ruddy Corp (NLC),Blue,Win,:22:48,21,12,32,Yuumi,Sup,Poppy,Jun,Tristana,Adc,Azir,Mid,Jax,Top,Zeri,Adc,Sejuani,Jun,Milio,Sup,Kai'Sa,Mid,Jayce,Top,Lucian,Annie,Maokai,,,Neeko,LeBlanc,Vi,,
10,13.11,2023,June,WESPORT(PL2),Red,Lose,:25:39,13,27,27,Tristana,Adc,Sejuani,Jun,Nautilus,Sup,Azir,Mid,Renekton,Top,Zeri,Adc,Neeko,Mid,Viego,Jun,Leona,Sup,K'Sante,Top,Lucian,LeBlanc,Yuumi,Lulu,Renata,Vi,Maokai,Milio,Syndra,Orianna
11,13.11,2023,June,WESPORT(PL2),Blue,Win,:28:03,27,14,57,Xayah,Adc,Poppy,Jun,Rakan,Sup,Azir,Mid,Gnar,Top,Varus,Adc,Gragas,Top,Nautilus,Sup,Viego,Jun,Zoe,Mid,Lucian,Milio,Maokai,Trundle,Annie,Zeri,LeBlanc,Neeko,Olaf,K'Sante
12,13.11,2023,June,WESPORT(PL2),Red,Win,:25:06,21,10,45,Neeko,Mid,Yuumi,Sup,Kai'Sa,Adc,Sejuani,Jun,Renekton,Top,Zeri,Adc,Lulu,Sup,Syndra,Mid,Sion,Top,Poppy,Jun,Lucian,LeBlanc,Maokai,Kennen,Gwen,Vi,Milio,Anivia,Jarvan IV,Wukong
13,13.11,2023,June,WESPORT(PL2),Blue,Lose,:33:05,26,49,56,Xayah,Adc,Syndra,Mid,Rakan,Sup,Wukong,Jun,K'Sante,Top,Neeko,Mid,Varus,Adc,Nautilus,Sup,Jarvan IV,Jun,Renekton,Top,Lucian,Milio,Yuumi,Maokai,Poppy,Zeri,Vi,LeBlanc,Sejuani,Trundle
14,13.11,2023,June,WESPORT(PL2),Red,Win,:32:42,15,26,41,Kai'Sa,Adc,Maokai,Jun,K'Sante,Mid,Rakan,Sup,Quinn,Top,Zeri,Adc,Sejuani,Jun,Renekton,Top,Janna,Sup,Orianna,Mid,Lucian,LeBlanc,Yuumi,Lulu,Leona,Vi,Milio,Neeko,Tristana,Nautilus
15,13.11,2023,June,ANC Outplayed(PGN),Blue,Win,:22:40,18,5,30,Aphelios,Adc,Azir,Mid,Poppy,Jun,K'Sante,Top,Janna,Sup,Xayah,Adc,Rakan,Sup,Orianna,Mid,Nocturne,Jun,Shen,Top,Neeko,,Olaf,Maokai,Malphite,Milio,Yuumi,Vi,Lulu,Nautilus
16,13.11,2023,June,ANC Outplayed(PGN),Red,Lose,,,,,Zeri,Adc,Sejuani,Jun,Lulu,Sup,Viktor,Mid,Jax,Top,Yuumi,Sup,Aphelios,Adc,Tristana,Mid,Karthus,Jun,Renekton,Top,Neeko,Galio,K'Sante,Elise,Gragas,Lucian,Maokai,Vi,Syndra,
17,13.11,2023,June,ANC Outplayed(PGN),Blue,Lose,:26:01,14,26,30,Aphelios,Adc,Azir,Mid,Sejuani,Jun,Renekton,Top,Rakan,Sup,Varus,Adc,Gragas,Jun,Nautilus,Sup,Akshan,Mid,Quinn,Top,Neeko,Karthus,Shaco,Tristana,Jayce,Yuumi,Milio,LeBlanc,Braum,Alistar
18,13.11,2023,June,ANC Outplayed(PGN),Red,Win,:31:29,36,21,46,Aphelios,Adc,Vi,Jun,Blitzcrank,Sup,Orianna,Mid,Gnar,Top,Milio,Sup,Xayah,Adc,Kindred,Jun,Gragas,Top,LeBlanc,Mid,Neeko,Karthus,Yuumi,Ahri,Galio,Lucian,K'Sante,Maokai,Azir,Gwen
19,13.11,2023,June,SINNERS(HM),Blue,Win,:31:54,31,28,56,Rakan,Sup,Aphelios,Adc,Azir,Mid,Vi,Jun,Ornn,Top,Xayah,Adc,Maokai,Jun,Tristana,Mid,Heimerdinger,Sup,Poppy,Top,Neeko,Gragas,Rumble,Olaf,Darius,Milio,LeBlanc,Yuumi,Sejuani,Wukong
20,13.11,2023,June,SINNERS(HM),Red,Win,:32:24,35,31,80,Tristana,Adc,Maokai,Jun,Rakan,Sup,Sylas,Mid,Gnar,Top,Aphelios,Adc,Amumu,Jun,Syndra,Mid,Braum,Sup,K'Sante,Top,Neeko,Gragas,Yuumi,Poppy,Olaf,Vi,Milio,LeBlanc,Xayah,Varus
21,13.11,2023,June,SINNERS(HM),Blue,Lose,:24:40,11,21,15,Rakan,Sup,Aphelios,Adc,Azir,Mid,Sejuani,Jun,Renekton,Top,Xayah,Adc,Ahri,Mid,Poppy,Jun,Nautilus,Sup,Aatrox,Top,Neeko,Gragas,Maokai,Heimerdinger,Vi,Milio,LeBlanc,Yuumi,Viego,Wukong
22,13.13,2023,July,DOMINO (NLC),Blue,Win,:23:46,17,13,40,Rell,Sup,Azir,Mid,Kai'Sa,Adc,Sejuani,Jun,Renekton,Top,Gragas,Top,Thresh,Sup,Tristana,Mid,Xayah,Adc,Maokai,Jun,Milio,Rakan,Qiyana,Olaf,Jax,Vi,Ivern,Yuumi,Kennen,Poppy
23,13.13,2023,July,DOMINO (NLC),Red,Win,:26:05,25,15,43,Azir,Mid,Xayah,Adc,Poppy,Jun,Braum,Sup,Rek'Sai,Top,Rell,Sup,Tristana,Mid,Gragas,Top,Aphelios,Adc,Rumble,Top,Milio,Vi,Maokai,Trundle,Olaf,Ivern,Yuumi,Kai'Sa,Renata,Alistar
24,13.13,2023,July,DOMINO (NLC),Blue,Lose,:30:47,19,37,24,Azir,Mid,Kai'Sa,Adc,Poppy,Top,Kha'Zix,Jun,Leona,Sup,Yone,Mid,Xayah,Adc,Maokai,Jun,Renekton,Top,Heimerdinger,Sup,Milio,Gragas,Tristana,Olaf,Rumble,Ivern,Yuumi,Rell,Braum,Rek'Sai
