Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
03/12/2024,Jax,Skarner,Ahri,Smolder,Rakan,14.23,Win,MCK,Ambessa,Viego,Aurora,Corki,Maokai,Blue,,,,,,,,,,,
03/12/2024,Camille,Nocturne,Sylas,Varus,Rell,14.23,Win,MCK,Ambessa,JarvanIV,Ahri,Ashe,Nautilus,Red,,,,,,,,,,,
03/12/2024,Aurora,Skarner,Yone,Corki,Bard,14.23,Win,MCK,Galio,MonkeyKing,Syndra,Kalista,Renata,Blue,,,,,,,,,,,
03/12/2024,Renekton,Zyra,Yone,Ashe,Leona,14.23,Win,MCK,Aurora,Skarner,Ambessa,Ezreal,Rakan,Red,,,,,,,,,,,
03/12/2024,KSante,Poppy,Aurora,Caitlyn,Lux,14.23,Win,MCK,Gwen,Viego,Galio,Kalista,Renata,Blue,,,,,,,,,,,
04/12/2024,Renekton,Ivern,Akali,Ashe,Poppy,14.23,Lose,LUA,Gragas,Vi,Yone,Varus,Rell,Red,,,,,,,,,,,
04/12/2024,Aurora,Skarner,Akali,Smolder,Nautilus,14.23,Lose,LUA,Ornn,Lillia,Yone,Varus,Braum,Blue,,,,,,,,,,,
04/12/2024,Gragas,Vi,Ahri,Varus,Nautilus,14.23,Lose,LUA,Jax,Viego,Lissandra,Ashe,Rell,Red,,,,,,,,,,,
04/12/2024,Gnar,Maokai,Jayce,Kalista,Renata,14.23,Win,LUA,Sion,Poppy,Hwei,Jinx,Lulu,Blue,,,,,,,,,,,
04/12/2024,KSante,Sejuani,Sylas,Kalista,Rell,14.23,Win,LUA,Kennen,Vi,Ahri,Varus,Rakan,Red,,,,,,,,,,,
05/12/2024,Jax,Skarner,Ahri,Smolder,Rell,14.23,Win,JL,Gnar,MonkeyKing,Swain,Corki,Leona,Blue,,,,,,,,,,,
05/12/2024,Jax,Vi,Ahri,Smolder,Nautilus,14.23,Lose,JL,Gnar,XinZhao,Swain,Corki,Rakan,Red,,,,,,,,,,,
05/12/2024,Volibear,Skarner,Orianna,Xayah,Rakan,14.23,Win,JL,Ambessa,JarvanIV,Corki,Ziggs,Leona,Blue,,,,,,,,,,,
05/12/2024,Malphite,Sejuani,Yone,Kalista,Renata,14.23,Lose,JL,Gnar,Vi,Galio,Caitlyn,Neeko,Red,,,,,,,,,,,
05/12/2024,Ambessa,Sejuani,Smolder,Ziggs,Nautilus,14.23,Win,JL,Renekton,Amumu,Yone,Caitlyn,Maokai,Blue,,,,,,,,,,,
06/12/2024,Ambessa,Amumu,Yone,Jhin,Nautilus,14.23,Lose,RBT,Volibear,MonkeyKing,Sylas,Varus,Leona,Blue,,,,,,,,,,,
06/12/2024,Renekton,Sejuani,Akali,Ashe,Rell,14.23,Lose,RBT,Ambessa,Ivern,Sylas,Corki,Nautilus,Red,,,,,,,,,,,
06/12/2024,Volibear,Amumu,Yone,Kalista,Renata,14.23,Win,RBT,Ambessa,Sejuani,Azir,Varus,Neeko,Blue,,,,,,,,,,,
06/12/2024,Renekton,Zyra,Smolder,Varus,Nautilus,14.23,Win,RBT,Ambessa,Nidalee,Corki,Ashe,Rell,Red,,,,,,,,,,,
06/12/2024,Galio,Nocturne,Akali,Kalista,Nautilus,14.23,Win,RBT,Rumble,MonkeyKing,Orianna,Varus,Rell,Blue,,,,,,,,,,,
10/12/2024,Gnar,Nocturne,Orianna,Varus,Nautilus,14.23,Win,MCK,Renekton,Vi,Ahri,Ashe,Leona,Red,,,,,,,,,,,
10/12/2024,Volibear,Nocturne,Aurora,Varus,Renata,14.23,Win,MCK,Ambessa,Vi,Ahri,Ashe,Blitzcrank,Blue,,,,,,,,,,,
10/12/2024,KSante,Viego,Galio,Kalista,Neeko,14.23,Lose,MCK,Poppy,Vi,Orianna,Draven,Renata,Red,,,,,,,,,,,
10/12/2024,Gragas,MonkeyKing,Ahri,Varus,TahmKench,14.23,Lose,MCK,Galio,Vi,Swain,Kalista,Nautilus,Blue,,,,,,,,,,,
10/12/2024,Renekton,Sejuani,Swain,Varus,Braum,14.23,Win,MCK,Ornn,Graves,Akali,Kalista,Leona,Red,,,,,,,,,,,
11/12/2024,Renekton,Ivern,Swain,Varus,Braum,14.24,Lose,VER,Poppy,ReKSai,Ahri,Corki,Leona,Blue,,,,,,,,,,,
11/12/2024,Ambessa,Vi,Ryze,Ashe,Rell,14.24,Win,VER,KSante,Maokai,Sylas,Xayah,Rakan,Red,,,,,,,,,,,
11/12/2024,Rumble,Nocturne,Viktor,Kalista,Renata,14.24,Lose,VER,KSante,Maokai,Orianna,Varus,Poppy,Blue,,,,,,,,,,,
11/12/2024,Ornn,Vi,Ahri,Caitlyn,Braum,14.24,Win,VER,Aurora,XinZhao,Ezreal,Ziggs,Leona,Red,,,,,,,,,,,
11/12/2024,Renekton,MonkeyKing,Aurora,Varus,Alistar,14.24,Lose,VER,KSante,JarvanIV,Ahri,Brand,Rell,Blue,,,,,,,,,,,
12/12/2024,KSante,Karthus,Yasuo,Varus,Rell,15.1,Win,AKA,Rumble,Graves,Hwei,Ashe,Maokai,Red,,,,,,,,,,,
12/12/2024,Ornn,Ivern,Jayce,Varus,Leona,15.1,Win,AKA,KSante,XinZhao,Syndra,Jinx,Rell,Blue,,,,,,,,,,,
12/12/2024,Sion,Vi,Ahri,Jinx,Pyke,15.1,Win,AKA,Jax,Viego,Viktor,Varus,Ashe,Red,,,,,,,,,,,
12/12/2024,Poppy,Sejuani,Azir,Varus,Ashe,15.1,Win,AKA,Gragas,JarvanIV,Yasuo,Ziggs,Rell,Blue,,,,,,,,,,,
12/12/2024,Renekton,Vi,Viktor,Kalista,Neeko,15.1,Win,AKA,Gnar,MonkeyKing,Corki,Ziggs,Poppy,Red,,,,,,,,,,,
17/12/2024,Malphite,Ivern,Yone,Ashe,Rell,15.1,Lose,LUA,Gnar,XinZhao,Viktor,Varus,Alistar,Red,,,,,,,,,,,
17/12/2024,KSante,Amumu,Viktor,Varus,Rakan,15.1,Lose,LUA,Rumble,Maokai,Yone,Ashe,Nautilus,Blue,,,,,,,,,,,
17/12/2024,KSante,Sejuani,Viktor,Varus,TahmKench,15.1,Lose,LUA,Rumble,Vi,Ahri,Ezreal,Rakan,Red,,,,,,,,,,,
17/12/2024,Galio,MonkeyKing,Viktor,Corki,Rell,15.1,Lose,LUA,Gragas,JarvanIV,Aurora,Ezreal,Maokai,Blue,,,,,,,,,,,
17/12/2024,Galio,Maokai,Jayce,Varus,Leona,15.1,Lose,LUA,Rumble,Viego,Sylas,Ashe,Rell,Red,,,,,,,,,,,
18/12/2024,Renekton,Vi,Hwei,Corki,Nautilus,15.1,Lose,UCAM,Aurora,Ambessa,Viktor,Xayah,Rell,Red,,,,,,,,,,,
18/12/2024,KSante,Viego,Ahri,Varus,Leona,15.1,Win,UCAM,Maokai,LeeSin,Sylas,Corki,Alistar,Blue,,,,,,,,,,,
18/12/2024,Volibear,Viego,Ahri,Varus,Rell,15.1,Win,UCAM,Ambessa,Sejuani,Yone,Viktor,Nautilus,Red,,,,,,,,,,,
18/12/2024,Renekton,MonkeyKing,Viktor,Ashe,TahmKench,15.1,Win,UCAM,Kennen,Nocturne,Akali,Kalista,Maokai,Blue,,,,,,,,,,,
